total_timesteps,explained_variance,fps,nupdates,policy_entropy,value_loss,ep_reward_mean,ep_len_mean
576000,0.9478050693869591,1129,7200,1.7680555582046509,0.011558079160749912,-20.42,897.23
584000,0.9192320331931114,1130,7300,1.7518527507781982,0.022099340334534645,-20.35,899.11
592000,0.9208298921585083,1130,7400,1.7493594884872437,0.015609892085194588,-20.33,898.4
600000,0.34069639444351196,1131,7500,1.7740185260772705,0.020272646099328995,-20.33,897.7
608000,0.948219507932663,1132,7600,1.7692924737930298,0.009290494956076145,-20.33,896.8
616000,0.851826399564743,1133,7700,1.7753664255142212,0.017310723662376404,-20.35,895.66
624000,0.9149720966815948,1134,7800,1.7755756378173828,0.01534692756831646,-20.35,902.18
632000,0.9218069911003113,1135,7900,1.7749273777008057,0.026372795924544334,-20.34,902.55
640000,0.9368256479501724,1135,8000,1.7803653478622437,0.012590909376740456,-20.29,914.41
648000,0.8461863845586777,1136,8100,1.7793867588043213,0.03783009201288223,-20.3,914.02
656000,0.9634364955127239,1137,8200,1.7823104858398438,0.013329705223441124,-20.27,922.29
664000,0.7654954642057419,1137,8300,1.7762575149536133,0.025679942220449448,-20.22,926.14
672000,0.7829304188489914,1138,8400,1.7786505222320557,0.028788289055228233,-20.21,934.13
680000,0.9413286410272121,1139,8500,1.7761523723602295,0.010666647925972939,-20.23,935.08
688000,0.9499479718506336,1140,8600,1.7815046310424805,0.012642365880310535,-20.24,939.44
696000,0.913269892334938,1140,8700,1.7830371856689453,0.025242531672120094,-20.2,950.21
704000,0.7119815945625305,1141,8800,1.7839500904083252,0.04787308722734451,-20.15,954.85
712000,0.5608763992786407,1142,8900,1.7842094898223877,0.04010360315442085,-20.09,957.75
720000,0.9223024174571037,1142,9000,1.775350570678711,0.016326522454619408,-20.11,955.35
728000,0.7885430455207825,1143,9100,1.7806146144866943,0.0647338405251503,-20.08,957.96
736000,0.8555494844913483,1143,9200,1.7801330089569092,0.017747912555933,-20.07,952.22
744000,0.8837247639894485,1144,9300,1.7774873971939087,0.023563947528600693,-20.04,959.59
752000,0.9060333222150803,1118,9400,1.7801742553710938,0.022905927151441574,-20.05,954.31
760000,0.9434115849435329,1118,9500,1.7819480895996094,0.020968858152627945,-20.11,944.92
768000,0.844424694776535,1119,9600,1.7845760583877563,0.01730991341173649,-20.1,944.98
776000,0.8890352323651314,1120,9700,1.7858175039291382,0.03515572100877762,-20.13,949.04
784000,0.9218997582793236,1121,9800,1.784878134727478,0.016059905290603638,-20.1,944.96
792000,0.9309296160936356,1122,9900,1.785278558731079,0.009020010009407997,-20.06,946.47
800000,0.9244930148124695,1123,10000,1.780389428138733,0.012560242787003517,-20.11,943.23
808000,0.8541091531515121,1123,10100,1.7853018045425415,0.04691089317202568,-20.11,943.48
816000,0.9403166584670544,1124,10200,1.7853206396102905,0.02440096065402031,-20.14,944.64
824000,0.7007791996002197,1125,10300,1.7874329090118408,0.06469883024692535,-20.17,945.87
832000,0.7750047147274017,1126,10400,1.7848609685897827,0.010136703960597515,-20.14,948.19
840000,0.594707578420639,1126,10500,1.78218674659729,0.047405906021595,-20.14,947.41
848000,0.9074061661958694,1127,10600,1.7831302881240845,0.015021799132227898,-20.07,959.48
856000,0.9310908317565918,1127,10700,1.7816766500473022,0.012376034632325172,-20.07,959.31
864000,0.9298297166824341,1128,10800,1.7827284336090088,0.01955980435013771,-20.09,947.16
872000,0.8799106255173683,1128,10900,1.7816874980926514,0.015061949379742146,-20.08,944.32
880000,0.9166150465607643,1130,11000,1.7847669124603271,0.020908135920763016,-20.12,943.0
