total_timesteps,fps,policy_entropy,approxkl,clipfrac,value_loss,explained_variance,time_elapsed,serial_timesteps,policy_loss,n_updates,ep_len_mean,ep_reward_mean
4642816,1062,1.3944558,1.8870081e-05,0.18579102,0.0008466195,0.9847429785877466,4967.149692058563,580352,-0.00073641306,4534,1660.14,20.93
4643840,1106,1.351583,2.0061907e-05,0.15576172,0.0009797526,0.9802757427096367,4968.11576795578,580480,-0.0007737633,4535,1660.12,20.93
4644864,1080,1.3548086,1.7428883e-05,0.1694336,0.0010334093,0.9775698874145746,4969.043137311935,580608,-0.00078915467,4536,1660.16,20.93
4645888,1091,1.3666171,2.0886248e-05,0.21606445,0.00067941647,0.9868597611784935,4969.992159128189,580736,-0.00088644493,4537,1660.13,20.93
4646912,1140,1.3827381,2.0983574e-05,0.20483398,0.0064962986,0.9092286601662636,4970.933165073395,580864,-0.00076470175,4538,1660.13,20.93
4647936,1079,1.4125612,1.9911495e-05,0.20117188,0.00052459334,0.9879043381661177,4971.832590818405,580992,-0.00081710547,4539,1660.11,20.93
4648960,1128,1.3904969,1.6687754e-05,0.17138672,0.00041459943,0.9903384633362293,4972.782887458801,581120,-0.0007999948,4540,1660.11,20.93
4649984,1087,1.4074655,1.6853299e-05,0.18115234,0.00086622644,0.9820692986249924,4973.6928589344025,581248,-0.0007221764,4541,1660.07,20.93
4651008,1017,1.366734,1.5802178e-05,0.15283203,0.0006261947,0.9877569684758782,4974.636601686478,581376,-0.0007415265,4542,1659.39,20.94
4652032,846,1.3895385,1.9164832e-05,0.1887207,0.00053115183,0.9874853882938623,4975.6447105407715,581504,-0.00066979753,4543,1659.39,20.94
4653056,898,1.4131099,1.9041741e-05,0.2109375,0.00042822643,0.9888617862015963,4976.856142044067,581632,-0.0009062969,4544,1659.39,20.94
4654080,1032,1.4212524,1.7032899e-05,0.1965332,0.00042826487,0.9903387343510985,4977.997556686401,581760,-0.00088719814,4545,1659.39,20.94
4655104,917,1.3992267,1.6482863e-05,0.18261719,0.0006560183,0.9841366484761238,4978.991434812546,581888,-0.00069890945,4546,1659.39,20.94
4656128,967,1.3863516,1.674232e-05,0.1796875,0.00066349236,0.9875111607834697,4980.109476327896,582016,-0.00085024955,4547,1659.35,20.94
4657152,1026,1.364984,1.1434279e-05,0.114990234,0.00090074184,0.9819106068462133,4981.169326305389,582144,-0.00060958316,4548,1659.35,20.94
4658176,1064,1.3621022,2.3821734e-05,0.20898438,0.00063004927,0.9865861078724265,4982.168364524841,582272,-0.0009296859,4549,1659.32,20.94
4659200,1091,1.3998426,1.8649109e-05,0.17456055,0.010327723,0.8465763032436371,4983.131815671921,582400,-0.000574919,4550,1659.32,20.94
4660224,1012,1.3478107,1.6603391e-05,0.1538086,0.0009772609,0.9796714596450329,4984.071673154831,582528,-0.00075970363,4551,1660.06,20.93
4661248,1011,1.4050285,1.9514462e-05,0.18701172,0.00047691926,0.9874230185523629,4985.085896492004,582656,-0.0008322752,4552,1660.06,20.93
4662272,1060,1.4068106,1.3529133e-05,0.1508789,0.00040926063,0.9908398585394025,4986.099748373032,582784,-0.0007352781,4553,1660.06,20.93
4663296,1110,1.3821479,1.6052461e-05,0.15527344,0.0008599261,0.9832473639398813,4987.066851854324,582912,-0.0007681065,4554,1660.06,20.93
4664320,974,1.3597599,1.0949597e-05,0.11987305,0.000586837,0.9875452490523458,4987.990744113922,583040,-0.00077342434,4555,1660.69,20.92
4665344,1005,1.3787993,1.568047e-05,0.16674805,0.00043078754,0.9902961906045675,4989.044100761414,583168,-0.0008128989,4556,1660.69,20.92
4666368,1015,1.4053657,1.5457746e-05,0.18066406,0.00033111547,0.9915979923680425,4990.065216064453,583296,-0.0008659186,4557,1660.69,20.92
4667392,1093,1.4394515,1.5822858e-05,0.19335938,0.00040392095,0.9905376648530364,4991.075050115585,583424,-0.0007586405,4558,1660.69,20.92
4668416,973,1.3654511,1.50111355e-05,0.19067383,0.00071870716,0.9838297348469496,4992.013063669205,583552,-0.0007787528,4559,1660.69,20.92
4669440,1014,1.3532571,1.787694e-05,0.19799805,0.0006156864,0.9880540845915675,4993.066819667816,583680,-0.00054306,4560,1660.72,20.92
4670464,1011,1.3631065,1.6396069e-05,0.16967773,0.00075062446,0.9858688451349735,4994.07900261879,583808,-0.0006098509,4561,1660.7,20.92
4671488,1055,1.3340225,1.4870027e-05,0.16601562,0.0010007375,0.9795244541019201,4995.0931260585785,583936,-0.0008009683,4562,1660.65,20.92
4672512,1139,1.3382648,1.5946229e-05,0.13842773,0.007259023,0.891921192407608,4996.06516957283,584064,-0.0006332725,4563,1660.65,20.92
4673536,884,1.3413172,1.7336153e-05,0.1730957,0.006920074,0.8861586451530457,4996.965159893036,584192,-0.00071946776,4564,1660.6,20.92
4674560,865,1.3719592,1.3192125e-05,0.15625,0.00049821875,0.9874540390446782,4998.126512050629,584320,-0.0008186456,4565,1660.6,20.92
4675584,1004,1.3940583,1.3276405e-05,0.15429688,0.00037357546,0.9914130112156272,4999.312527656555,584448,-0.00073832966,4566,1660.6,20.92
4676608,1026,1.3853902,1.2288999e-05,0.15283203,0.00056840165,0.987866067327559,5000.3335750103,584576,-0.000612335,4567,1660.6,20.92
