serial_timesteps,policy_entropy,n_updates,time_elapsed,fps,clipfrac,value_loss,total_timesteps,approxkl,explained_variance,policy_loss,ep_reward_mean,ep_len_mean
595968,1.2504511,4656,5709.280397415161,981,0.22167969,0.0052867434,4767744,1.672895e-05,0.9028617665171623,-0.0005253365,20.61,2738.53
596096,1.2612265,4657,5710.326813697815,1017,0.19702148,0.0012905714,4768768,9.381003e-06,0.9698424581438303,-0.00054369675,20.6,2740.18
596224,1.2957858,4658,5711.334583759308,1002,0.24682617,0.0015194496,4769792,1.0565754e-05,0.9707731530070305,-0.0004893029,20.6,2740.18
596352,1.2781441,4659,5712.358377456665,996,0.20581055,0.0010857668,4770816,9.360434e-06,0.9760576486587524,-0.00063281506,20.6,2740.18
596480,1.3273703,4660,5713.38725733757,946,0.19335938,0.00076815166,4771840,8.145776e-06,0.9843894485384226,-0.00053730013,20.6,2740.18
596608,1.3014102,4661,5714.470732212067,949,0.18603516,0.0008804307,4772864,7.914358e-06,0.9806954450905323,-0.0006616932,20.6,2740.18
596736,1.2825401,4662,5715.550724983215,962,0.2084961,0.000878791,4773888,9.471975e-06,0.9801013916730881,-0.0006171949,20.6,2740.18
596864,1.2753669,4663,5716.616343021393,956,0.1665039,0.0009520357,4774912,7.3582382e-06,0.9764458481222391,-0.0005577113,20.6,2740.18
596992,1.2595731,4664,5717.68997836113,949,0.20361328,0.0015464826,4775936,9.604633e-06,0.9642598927021027,-0.0005710575,20.61,2734.11
597120,1.2468475,4665,5718.770962238312,960,0.15527344,0.0022052813,4776960,7.686444e-06,0.9457740448415279,-0.0004526938,20.61,2733.58
597248,1.292953,4666,5719.840014219284,980,0.20483398,0.0014512299,4777984,9.439345e-06,0.9688098654150963,-0.0005311249,20.61,2738.06
597376,1.2658463,4667,5720.886044025421,1013,0.20581055,0.00083360274,4779008,7.962424e-06,0.9829207994043827,-0.0006107638,20.61,2738.06
597504,1.3119631,4668,5721.900765419006,896,0.20727539,0.0009940433,4780032,9.441777e-06,0.9763755481690168,-0.0006744225,20.61,2738.06
597632,1.2740815,4669,5723.044021368027,818,0.20581055,0.0013473659,4781056,9.692372e-06,0.9660063870251179,-0.00065524207,20.62,2739.93
597760,1.2610608,4670,5724.298232555389,1054,0.19335938,0.0021064687,4782080,7.1516993e-06,0.9514162316918373,-0.0004961287,20.62,2739.93
597888,1.2715079,4671,5725.270758152008,1006,0.19189453,0.0008675677,4783104,7.587437e-06,0.9803984723985195,-0.0005431435,20.62,2739.93
598016,1.2846459,4672,5726.29004740715,1036,0.2163086,0.00090331805,4784128,8.526115e-06,0.9792777467519045,-0.00048251596,20.62,2739.93
598144,1.2667092,4673,5727.280031442642,1153,0.18530273,0.00096422445,4785152,8.342972e-06,0.9787220563739538,-0.00048845995,20.62,2739.93
598272,1.2702088,4674,5728.1700921058655,1084,0.21899414,0.00086754456,4786176,7.963176e-06,0.9800061993300915,-0.00059803645,20.62,2739.93
598400,1.2841616,4675,5729.115989685059,1166,0.21923828,0.0010655359,4787200,7.96325e-06,0.9760233927518129,-0.00060476066,20.62,2734.84
598528,1.2573998,4676,5729.995500087738,945,0.16845703,0.0018336832,4788224,7.3541473e-06,0.9584701918065548,-0.0005091251,20.62,2734.84
598656,1.2974161,4677,5731.080268859863,985,0.1796875,0.0049065338,4789248,9.135465e-06,0.9249692782759666,-0.00047205418,20.62,2734.84
598784,1.2769262,4678,5732.121058702469,985,0.16992188,0.001385018,4790272,7.1688924e-06,0.9720185231417418,-0.00043418046,20.62,2734.84
598912,1.2833151,4679,5733.161494255066,990,0.19995117,0.0012805308,4791296,7.055174e-06,0.9693578742444515,-0.0006095206,20.62,2734.84
599040,1.3023984,4680,5734.197764635086,913,0.16015625,0.00118015,4792320,6.5247928e-06,0.9738846719264984,-0.0004855036,20.61,2736.51
599168,1.2886417,4681,5735.3219883441925,1030,0.22241211,0.0009319256,4793344,7.956411e-06,0.9798357058316469,-0.000504095,20.61,2736.51
599296,1.2817997,4682,5736.317057132721,932,0.20629883,0.0010343449,4794368,6.783467e-06,0.9771702270954847,-0.0004949703,20.61,2736.51
