fps,serial_timesteps,explained_variance,value_loss,approxkl,policy_loss,policy_entropy,time_elapsed,clipfrac,total_timesteps,n_updates,ep_len_mean,ep_reward_mean
945,117248,0.5689926445484161,0.031031633,0.0016912237,-0.005261678,1.3117635,1086.083203792572,0.13452148,937984,916,2410.86,-9.39
922,117376,0.6104296147823334,0.026011003,0.0021229764,-0.005504485,1.2681485,1087.167326450348,0.12597656,939008,917,2410.86,-9.39
934,117504,0.6283692121505737,0.026747013,0.0012194525,-0.0047270907,1.2707074,1088.2787055969238,0.08251953,940032,918,2410.86,-9.39
1072,117632,0.6421843767166138,0.030621046,0.0015772388,-0.0064417203,1.2816637,1089.3769953250885,0.12792969,941056,919,2410.86,-9.39
902,117760,0.6464471817016602,0.02957366,0.0014448938,-0.006537017,1.3152584,1090.3332347869873,0.1159668,942080,920,2410.86,-9.39
936,117888,0.5057079493999481,0.027149744,0.0017448965,-0.006517446,1.2765949,1091.4699759483337,0.12866211,943104,921,2421.14,-9.33
905,118016,0.5311398804187775,0.04050161,0.0014464092,-0.0042493353,1.2428457,1092.5652487277985,0.115234375,944128,922,2421.95,-9.36
875,118144,0.6143497228622437,0.019038208,0.0015306787,-0.0051623085,1.3130714,1093.6983833312988,0.12231445,945152,923,2421.95,-9.36
969,118272,0.48592710494995117,0.044492006,0.0019551178,-0.0042913067,1.2293079,1094.868937253952,0.1430664,946176,924,2421.95,-9.36
823,118400,0.7426618337631226,0.023696728,0.0017962258,-0.0045012822,1.3382016,1095.9280359745026,0.13867188,947200,925,2411.57,-9.54
928,118528,0.6457764804363251,0.025824998,0.0016430414,-0.0064440756,1.3243697,1097.1738579273224,0.12597656,948224,926,2411.57,-9.54
880,118656,0.5960715115070343,0.029266575,0.0022976021,-0.004032981,1.3354758,1098.2818853855133,0.16113281,949248,927,2423.89,-9.44
863,118784,0.6869979500770569,0.02471438,0.0017677421,-0.006740917,1.3281974,1099.4483790397644,0.14746094,950272,928,2422.35,-9.51
909,118912,0.530522495508194,0.039769787,0.0013034042,-0.004780232,1.330673,1100.6368551254272,0.11035156,951296,929,2422.35,-9.51
957,119040,0.5163846909999847,0.025361126,0.0015408337,-0.006085021,1.3531469,1101.7653653621674,0.12036133,952320,930,2422.35,-9.51
893,119168,0.6710252463817596,0.032144103,0.0015328925,-0.0062617837,1.3029342,1102.8370034694672,0.119140625,953344,931,2431.16,-9.41
925,119296,0.6232512593269348,0.03340196,0.0013905178,-0.004679269,1.315179,1103.9850010871887,0.11279297,954368,932,2431.16,-9.41
964,119424,0.7692195624113083,0.022288071,0.0014589073,-0.0050400784,1.3483136,1105.0935564041138,0.1105957,955392,933,2431.16,-9.41
884,119552,0.6241403520107269,0.031243922,0.001467239,-0.005919606,1.3338587,1106.157143354416,0.11645508,956416,934,2431.16,-9.41
848,119680,0.7501105070114136,0.029632522,0.001578616,-0.005309607,1.2738051,1107.3160154819489,0.125,957440,935,2431.16,-9.41
1025,119808,0.7188718318939209,0.029062435,0.0019030053,-0.0038880943,1.318836,1108.5240807533264,0.15136719,958464,936,2431.16,-9.41
980,119936,0.6773330867290497,0.03753478,0.0018305411,-0.0024248809,1.250049,1109.5240738391876,0.12768555,959488,937,2431.16,-9.41
1004,120064,0.6926253437995911,0.028026856,0.0014112401,-0.0052841795,1.2694025,1110.5699787139893,0.10961914,960512,938,2431.16,-9.41
1123,120192,0.7416214346885681,0.03023261,0.0012966767,-0.0054729967,1.2766297,1111.5910866260529,0.103759766,961536,939,2431.16,-9.41
