fps,serial_timesteps,n_updates,value_loss,policy_loss,explained_variance,policy_entropy,clipfrac,total_timesteps,time_elapsed,approxkl,ep_len_mean,ep_reward_mean
1067,164608,1286,0.01939333,-0.0058322735,0.8162666261196136,1.3584971,0.18237305,1316864,1448.4180266857147,0.0022513962,2532.7,0.15
1181,164736,1287,0.023446653,-0.0045439564,0.8191757947206497,1.3644451,0.17749023,1317888,1449.378879070282,0.0018771738,2532.7,0.15
1113,164864,1288,0.029577928,-0.0054146163,0.7382694482803345,1.3986489,0.17211914,1318912,1450.2469913959503,0.0019814665,2530.7,0.22
981,164992,1289,0.025082234,-0.0058730207,0.799761027097702,1.3899175,0.14477539,1319936,1451.1685411930084,0.0014151311,2538.6,0.32
1050,165120,1290,0.025186062,-0.0055993753,0.7984164953231812,1.3618557,0.11450195,1320960,1452.2146308422089,0.0015877943,2538.6,0.32
1022,165248,1291,0.031385817,-0.005274956,0.7348638474941254,1.3599222,0.11010742,1321984,1453.1905508041382,0.002280624,2531.96,0.52
1106,165376,1292,0.039678793,-0.0062270453,0.5966161787509918,1.3821522,0.20776367,1323008,1454.19331407547,0.0018189781,2531.96,0.52
1185,165504,1293,0.02249733,-0.006380581,0.79731585085392,1.3676373,0.18774414,1324032,1455.1200485229492,0.0019552503,2531.96,0.52
1212,165632,1294,0.030415883,-0.003417057,0.6656627655029297,1.3712854,0.10107422,1325056,1455.9853162765503,0.0011173463,2536.88,0.64
1175,165760,1295,0.032368038,-0.005533426,0.6837659180164337,1.3286977,0.1574707,1326080,1456.8312776088715,0.0018513973,2536.88,0.64
1215,165888,1296,0.01977754,-0.0056942822,0.8148953765630722,1.3608925,0.1394043,1327104,1457.7038269042969,0.0014090952,2536.88,0.64
1228,166016,1297,0.024998024,-0.0040290765,0.806495800614357,1.3661734,0.11376953,1328128,1458.5480153560638,0.0013537316,2536.88,0.64
1177,166144,1298,0.019098116,-0.004021119,0.8407303243875504,1.350066,0.16674805,1329152,1459.3828568458557,0.0019961768,2536.88,0.64
1226,166272,1299,0.03366683,-0.005440412,0.7449220418930054,1.3492754,0.20507812,1330176,1460.2535328865051,0.0020148729,2536.88,0.64
1094,166400,1300,0.04396694,-0.005754534,0.6599613726139069,1.3363447,0.11743164,1331200,1461.0896248817444,0.0012886642,2538.32,0.69
1031,166528,1301,0.025321146,-0.004991726,0.7832331210374832,1.3722436,0.10473633,1332224,1462.027024269104,0.0011231479,2539.61,0.82
1148,166656,1302,0.021039689,-0.0043345536,0.8358888775110245,1.317499,0.14770508,1333248,1463.0216619968414,0.0016651158,2539.61,0.82
1188,166784,1303,0.02836581,-0.005048637,0.7523065507411957,1.3675072,0.15649414,1334272,1463.914241552353,0.0016017996,2539.61,0.82
1039,166912,1304,0.03024702,-0.0043655583,0.7371077537536621,1.3519893,0.1508789,1335296,1464.7772498130798,0.0017869914,2537.86,0.8
1149,167040,1305,0.0273041,-0.005704789,0.763152003288269,1.342679,0.11669922,1336320,1465.7640578746796,0.0012161039,2536.95,0.82
1041,167168,1306,0.024017904,-0.004928548,0.7537781298160553,1.3207127,0.18652344,1337344,1466.6572992801666,0.002102285,2536.95,0.82
1136,167296,1307,0.024154376,-0.005619234,0.7728154063224792,1.3407915,0.17333984,1338368,1467.6422762870789,0.0016821866,2536.6,1.0
1184,167424,1308,0.02599169,-0.0049426453,0.7697332799434662,1.3464155,0.13354492,1339392,1468.5445394515991,0.0014396142,2536.6,1.0
1177,167552,1309,0.029842198,-0.0063594165,0.6989646852016449,1.3684815,0.12866211,1340416,1469.4102602005005,0.0012550334,2536.6,1.0
1153,167680,1310,0.03868954,-0.0063771997,0.5248258411884308,1.3412731,0.13232422,1341440,1470.2815763950348,0.0013633672,2536.6,1.0
1212,167808,1311,0.02671112,-0.004701783,0.7611428499221802,1.3286188,0.15039062,1342464,1471.170398235321,0.0019156076,2536.6,1.0
983,167936,1312,0.03173177,-0.005213417,0.6739750802516937,1.3095695,0.1616211,1343488,1472.016523361206,0.0016716548,2543.55,1.33
974,168064,1313,0.034693766,-0.006260637,0.6050708889961243,1.356268,0.15332031,1344512,1473.0602850914001,0.0014360807,2543.55,1.33
1105,168192,1314,0.027037289,-0.0056292256,0.7686558663845062,1.3491423,0.11035156,1345536,1474.1121740341187,0.0011448128,2543.55,1.33
1115,168320,1315,0.026625432,-0.0038241223,0.751582071185112,1.3361783,0.1508789,1346560,1475.0401368141174,0.0014176033,2543.55,1.33
1142,168448,1316,0.0286229,-0.0056809857,0.7847876846790314,1.313039,0.11303711,1347584,1475.9597780704498,0.0012262864,2543.55,1.33
1130,168576,1317,0.02716747,-0.0066946326,0.7490467131137848,1.3522737,0.17602539,1348608,1476.8577179908752,0.0019488794,2543.55,1.33
1060,168704,1318,0.02909179,-0.0030154549,0.67707160115242,1.3436337,0.1862793,1349632,1477.7650291919708,0.0022061844,2542.87,1.55
1180,168832,1319,0.03136264,-0.006035866,0.7291958928108215,1.3072178,0.21386719,1350656,1478.7328917980194,0.002401505,2553.18,1.68
1180,168960,1320,0.030637523,-0.0054122093,0.7187443971633911,1.2937613,0.16699219,1351680,1479.6021428108215,0.0019961859,2553.18,1.68
1182,169088,1321,0.028439932,-0.0071339016,0.7424924969673157,1.279804,0.16748047,1352704,1480.4704971313477,0.0016580679,2553.18,1.68
1144,169216,1322,0.029830271,-0.0057317163,0.7443179190158844,1.3037978,0.12011719,1353728,1481.3382816314697,0.0013202094,2553.18,1.68
1210,169344,1323,0.0282925,-0.0064149452,0.7746298909187317,1.3358026,0.21240234,1354752,1482.2344870567322,0.0019724965,2553.18,1.68
1181,169472,1324,0.021095142,-0.006862989,0.8161520063877106,1.2988337,0.18896484,1355776,1483.0816538333893,0.0020470251,2550.49,1.93
1105,169600,1325,0.02834364,-0.004562246,0.7819535732269287,1.3223656,0.1875,1356800,1483.949904203415,0.0018486133,2550.49,1.93
960,169728,1326,0.027605258,-0.006167497,0.77344810962677,1.3169094,0.21118164,1357824,1484.878419160843,0.0018836146,2560.32,2.04
1126,169856,1327,0.019461673,-0.0053089955,0.8418009877204895,1.3357147,0.17919922,1358848,1485.9465556144714,0.0018681623,2551.58,2.21
1077,169984,1328,0.03240514,-0.0033566952,0.6728899478912354,1.3664424,0.21704102,1359872,1486.8572585582733,0.002047866,2551.58,2.21
1086,170112,1329,0.033088345,-0.005059766,0.7430362403392792,1.3279663,0.14257812,1360896,1487.8087038993835,0.0014791951,2556.74,2.34
1124,170240,1330,0.03316945,-0.0042395624,0.6515058875083923,1.3518063,0.11352539,1361920,1488.752646446228,0.0012415278,2556.74,2.34
1126,170368,1331,0.02779273,-0.006659139,0.7566865831613541,1.3416332,0.18969727,1362944,1489.664941072464,0.002123075,2567.12,2.45
1140,170496,1332,0.026116626,-0.005451947,0.7141721844673157,1.330623,0.1015625,1363968,1490.5765223503113,0.001063995,2567.12,2.45
1126,170624,1333,0.03276135,-0.0029728343,0.6618959903717041,1.3547019,0.17407227,1364992,1491.476463317871,0.0017795213,2567.12,2.45
