policy_entropy,nupdates,total_timesteps,explained_variance,value_loss,fps,ep_reward_mean,ep_len_mean
1.7435976266860962,35000,2800000,0.8840330764651299,0.00834752433001995,1175,-18.95,1237.0
1.6652568578720093,35100,2808000,0.8674226701259613,0.010136631317436695,1175,-18.91,1250.7
1.711727499961853,35200,2816000,0.8119260519742966,0.02098919078707695,1175,-18.89,1249.25
1.6945621967315674,35300,2824000,0.68553826212883,0.05897784233093262,1176,-18.79,1260.02
1.6955783367156982,35400,2832000,0.9041280001401901,0.009165110997855663,1176,-18.65,1281.36
1.738823652267456,35500,2840000,0.9117740541696548,0.012480084784328938,1176,-18.61,1297.24
1.7102279663085938,35600,2848000,0.9433501176536083,0.00842730887234211,1176,-18.64,1303.86
1.634967565536499,35700,2856000,0.891382597386837,0.013492939062416553,1177,-18.56,1328.09
1.7248165607452393,35800,2864000,0.8411844819784164,0.01395084522664547,1177,-18.51,1336.93
1.687029242515564,35900,2872000,0.7213343977928162,0.03417716547846794,1177,-18.56,1345.81
1.6857370138168335,36000,2880000,0.8168203383684158,0.023339906707406044,1177,-18.56,1350.25
1.7353801727294922,36100,2888000,0.6920335590839386,0.018464425578713417,1178,-18.51,1358.35
1.71269953250885,36200,2896000,0.8809865340590477,0.02109251543879509,1178,-18.58,1377.39
1.6967090368270874,36300,2904000,0.7839574962854385,0.03787476569414139,1178,-18.57,1379.41
1.7065531015396118,36400,2912000,0.8003784716129303,0.05815761163830757,1178,-18.51,1393.12
1.7460743188858032,36500,2920000,0.776316225528717,0.01990072801709175,1179,-18.48,1408.56
1.6833839416503906,36600,2928000,0.8018202930688858,0.018280155956745148,1179,-18.45,1410.84
1.7386343479156494,36700,2936000,0.8259923756122589,0.023101385682821274,1179,-18.4,1419.32
1.728322982788086,36800,2944000,0.8104441612958908,0.018973324447870255,1180,-18.28,1433.64
1.7041008472442627,36900,2952000,0.6973858773708344,0.03496076539158821,1180,-18.29,1444.05
1.6889123916625977,37000,2960000,0.518931120634079,0.0659099742770195,1180,-18.26,1449.13
1.656859040260315,37100,2968000,0.7501797080039978,0.032683197408914566,1181,-18.2,1479.61
1.7356746196746826,37200,2976000,0.7474405169487,0.04823031648993492,1181,-18.18,1489.07
1.7318036556243896,37300,2984000,0.739389568567276,0.026772379875183105,1181,-18.19,1489.72
1.7435672283172607,37400,2992000,0.7039331197738647,0.06650792807340622,1182,-18.12,1502.55
1.7471164464950562,37500,3000000,0.762294352054596,0.021095627918839455,1182,-18.05,1517.96
1.715854287147522,37600,3008000,0.8105324506759644,0.011553199961781502,1170,-18.04,1517.27
1.7030298709869385,37700,3016000,0.5898259580135345,0.012549430131912231,1171,-18.03,1519.91
1.7323518991470337,37800,3024000,0.6052552461624146,0.02591971680521965,1171,-17.8,1548.02
1.7123876810073853,37900,3032000,0.816020593047142,0.01466158963739872,1172,-17.77,1555.36
1.7145068645477295,38000,3040000,0.8640495389699936,0.011657669208943844,1172,-17.79,1559.21
1.727495789527893,38100,3048000,0.7952079474925995,0.020640689879655838,1172,-17.73,1570.55
1.684143304824829,38200,3056000,0.8250324875116348,0.02408290095627308,1172,-17.72,1575.49
1.7500097751617432,38300,3064000,0.6950622797012329,0.017664220184087753,1173,-17.71,1578.99
1.6840547323226929,38400,3072000,0.9350068792700768,0.006739998701959848,1173,-17.69,1584.33
1.7364031076431274,38500,3080000,0.6821695268154144,0.013543476350605488,1173,-17.5,1595.47
1.7136080265045166,38600,3088000,0.895543098449707,0.013951793313026428,1174,-17.47,1596.14
1.659372091293335,38700,3096000,0.900566354393959,0.012083103880286217,1174,-17.46,1600.46
1.7362186908721924,38800,3104000,0.8829843401908875,0.006191799882799387,1174,-17.51,1596.0
1.7033798694610596,38900,3112000,0.8684089779853821,0.015757620334625244,1175,-17.48,1593.72
