value_loss,policy_entropy,total_timesteps,nupdates,fps,explained_variance,ep_len_mean,ep_reward_mean
0.014033272862434387,1.7814033031463623,2512000,31400,1127,0.9467055425047874,1012.57,-19.77
0.019912803545594215,1.7853772640228271,2520000,31500,1128,0.8877686560153961,1005.19,-19.84
0.04660692438483238,1.7776561975479126,2528000,31600,1128,0.530497282743454,1002.35,-19.93
0.01858314499258995,1.7779099941253662,2536000,31700,1128,0.9237790629267693,1011.12,-19.86
0.015551328659057617,1.7785027027130127,2544000,31800,1129,0.909704178571701,1009.28,-19.93
0.009675687178969383,1.773337721824646,2552000,31900,1129,0.9477137587964535,1017.71,-19.89
0.009964191354811192,1.7756946086883545,2560000,32000,1129,0.8801239728927612,1020.89,-19.86
0.011366395279765129,1.7854206562042236,2568000,32100,1130,0.9366379901766777,1012.58,-19.89
0.01750132627785206,1.7681655883789062,2576000,32200,1130,0.9162339717149734,1005.95,-19.94
0.007554026786237955,1.766453504562378,2584000,32300,1130,0.9503441788256168,1002.29,-19.92
0.007853920571506023,1.7755550146102905,2592000,32400,1130,0.9485083557665348,1004.54,-19.92
0.04020676016807556,1.7743806838989258,2600000,32500,1131,0.7599585503339767,999.75,-19.96
0.017280440777540207,1.7787506580352783,2608000,32600,1131,0.955275796353817,1006.72,-19.95
0.04232555255293846,1.7677894830703735,2616000,32700,1131,0.7215876281261444,1005.7,-19.97
0.04557846859097481,1.7683544158935547,2624000,32800,1132,0.7960840463638306,997.16,-19.95
0.027057290077209473,1.7739797830581665,2632000,32900,1132,0.7940626740455627,1002.32,-19.91
0.02462940849363804,1.7633107900619507,2640000,33000,1132,0.9066934436559677,1012.59,-19.81
0.04986970126628876,1.7772009372711182,2648000,33100,1133,0.8462930023670197,1012.31,-19.83
0.01262647844851017,1.7752805948257446,2656000,33200,1133,0.9224492311477661,1008.61,-19.84
0.011912052519619465,1.7715457677841187,2664000,33300,1133,0.9439297504723072,1008.59,-19.85
0.022708076983690262,1.7704890966415405,2672000,33400,1133,0.895502083003521,1013.94,-19.83
0.011817367747426033,1.7728893756866455,2680000,33500,1134,0.9641813710331917,1017.08,-19.8
0.021595995873212814,1.7785106897354126,2688000,33600,1134,0.9127732664346695,1029.37,-19.75
0.0437750518321991,1.7760118246078491,2696000,33700,1134,0.7986963987350464,1028.41,-19.77
0.022028930485248566,1.7785117626190186,2704000,33800,1134,0.9019541591405869,1031.84,-19.73
0.030856752768158913,1.7749547958374023,2712000,33900,1135,0.8379119038581848,1034.61,-19.69
0.022936657071113586,1.7811553478240967,2720000,34000,1135,0.8843925595283508,1038.36,-19.66
0.0136921601369977,1.7679979801177979,2728000,34100,1135,0.855923980474472,1051.13,-19.56
0.07024093717336655,1.7763402462005615,2736000,34200,1135,0.6484549939632416,1046.39,-19.59
0.007153180427849293,1.7774598598480225,2744000,34300,1136,0.9393248856067657,1040.94,-19.62
0.030629759654402733,1.7547944784164429,2752000,34400,1128,0.7512150406837463,1045.28,-19.62
0.00814194604754448,1.7742763757705688,2760000,34500,1128,0.9665024988353252,1053.83,-19.51
0.018041400238871574,1.7701308727264404,2768000,34600,1128,0.9003463089466095,1060.46,-19.52
0.023152446374297142,1.7304222583770752,2776000,34700,1129,0.8313143253326416,1058.47,-19.51
0.009827526286244392,1.7463645935058594,2784000,34800,1129,0.9334916323423386,1059.48,-19.52
0.024328280240297318,1.7685308456420898,2792000,34900,1129,0.8597541749477386,1055.23,-19.58
0.022655531764030457,1.777083158493042,2800000,35000,1129,0.9012294262647629,1047.23,-19.59
0.015517416410148144,1.7733780145645142,2808000,35100,1130,0.921793632209301,1059.94,-19.51
0.014747105538845062,1.7704236507415771,2816000,35200,1130,0.924836054444313,1055.4,-19.55
0.012088598683476448,1.7637412548065186,2824000,35300,1130,0.937825083732605,1052.35,-19.56
0.02440009079873562,1.7758293151855469,2832000,35400,1131,0.9088604375720024,1045.33,-19.63
0.07697837054729462,1.7782375812530518,2840000,35500,1131,0.26898425817489624,1045.7,-19.63
0.035381656140089035,1.7699874639511108,2848000,35600,1131,0.8465137630701065,1050.36,-19.66
0.01116897165775299,1.7568533420562744,2856000,35700,1131,0.9330434799194336,1047.43,-19.66
0.016850585117936134,1.7538152933120728,2864000,35800,1132,0.9477585479617119,1043.22,-19.72
0.011610077694058418,1.7723042964935303,2872000,35900,1132,0.9380919672548771,1039.06,-19.72
0.09018059819936752,1.7748785018920898,2880000,36000,1132,0.6077038049697876,1051.57,-19.69
0.01907471939921379,1.7724802494049072,2888000,36100,1132,0.9019601047039032,1057.47,-19.64
0.030832450836896896,1.7694997787475586,2896000,36200,1133,0.7319480180740356,1062.57,-19.59
0.015331169590353966,1.7481294870376587,2904000,36300,1133,0.8650127798318863,1066.89,-19.63
